City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Kapaa,US,82.38,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
4,Mersing,MY,89.51,scattered clouds,2.4312,103.8405,Timotel Hotel
6,Bambous Virieux,MU,73.65,scattered clouds,-20.3428,57.7575,Casa Tia Villa
9,Saint Anthony,US,66.13,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
13,Rikitea,PF,76.15,overcast clouds,-23.1203,-134.9692,People ThankYou
14,Shache,CN,70.93,overcast clouds,38.4167,77.2406,Delong Hotel
16,Hays,US,82.74,broken clouds,30.0502,-98.0336,Sinya on Lone Man Creek
17,Martapura,ID,84.29,few clouds,-3.4167,114.85,Montana Hotel Syariah
19,Hovd,MN,62.49,clear sky,48.0056,91.6419,Hotel Khovd
21,Seoul,KR,67.6,clear sky,37.5683,126.9778,롯데호텔 서울
24,Del Rio,US,89.71,clear sky,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
28,Hobart,AU,69.26,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
31,Santa Cruz,BO,69.26,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
32,Faanui,PF,81.72,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
34,Nelson Bay,AU,74.1,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
37,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
40,Hithadhoo,MV,82.51,broken clouds,-0.6,73.0833,Scoop Guest House
41,Altamira,BR,72.75,overcast clouds,-3.2033,-52.2064,Requinte Hotel
43,Puerto Ayora,EC,72.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
45,Broome,US,66.58,clear sky,42.2506,-75.833,Chenango Valley State Park
46,Hilo,US,86.29,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
47,Chardara,KZ,65.37,clear sky,41.2547,67.9692,Жанаргул
48,Namatanai,PG,85.64,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
51,Nara,JP,70.5,light rain,34.6851,135.8049,Guesthouse Nara Komachi
53,Portland,US,69.84,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
54,Ponta Do Sol,PT,66.7,few clouds,32.6667,-17.1,Hotel do Campo
55,Tecoanapa,MX,83.44,overcast clouds,16.5167,-98.75,Hotel Manglares
56,Najran,SA,68.65,few clouds,17.4924,44.1277,محمد هادي ال فطيح
58,Jamestown,US,63.99,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
59,Butaritari,KI,81.1,clear sky,3.0707,172.7902,Isles Sunset Lodge
